name,value
Business & Legal Services,45
Data/Technology,85
Education,20
Energy,25
Environment & Weather,12
Finance & Investment,74
Food & Agriculture,5
Geospatial/Mapping,30
Governance,43
Healthcare,37
Housing/Real Estate,20
Insurance,12
Lifestyle & Consumer,22
Research & Consulting,25
Scientific Research,16
Transportation,28
