Category,Number of Companies
Business & Legal Services,39
Data/Technology,120
Education,19
Energy,22
Environment & Weather,13
Finance & Investment,72
Food & Agriculture,5
Geospatial/Mapping,27
Governance,30
Healthcare,37
Housing/Real Estate,19
Insurance,12
Lifestyle & Consumer,17
Research & Consulting,24
Scientific Research,15
Transportation,30
